nus_kode	nus_navn	wage_avg	wage_median	wage_q1	wage_q3	employments_50	wage_avg_04	wage_median_04	wage_q1_04	wage_q3_04	employments_04	wage_avg_50	wage_median_50	wage_q1_50	wage_q3_50	employments_50
4166	Konfeksjons- og tekstilkunstutdanninger	431640	409200	384000	462960	2654	NULL	NULL	NULL	NULL	NULL	433800	410280	385560	464280	2581
6813	Maritime navigasjonsfag	711240	657240	505320	849120	2648	505440	450480	360480	605160	725	777360	720960	579600	897600	1923
6164	Tegne-, grafikk-, maler- og skulptørutdanninger	461280	445440	383760	527160	2553	391680	382080	329760	436080	669	480960	463560	399960	542520	1884
7321	Sosiologiske fag	608280	578280	494400	662400	2535	491640	464520	429960	542520	401	628680	589560	519960	681360	2134
4419	Økonomisk-administrative fag, andre	664680	551880	459840	726360	2456	NULL	NULL	NULL	NULL	NULL	664680	551880	459840	726360	2456
4719	Fiske og havbruk, andre	594480	561000	493080	659160	2449	546360	538920	482520	597600	638	612120	572880	501840	685200	1811
6819	Samferdsel, andre	652440	585360	469200	741720	2423	490680	433800	380640	555240	445	685320	612840	506040	769680	1978
7681	Idrettsfag	566760	547800	485040	630240	2382	498240	502440	440040	541560	974	607320	585360	528840	651120	1408
7514	Miljø- og forurensningsstudier	587280	552960	484560	647520	2331	500760	494400	436560	555360	862	634560	588840	521640	695640	1469
6442	Hotell- og restaurantfag	552240	502320	417120	625440	2326	391920	372840	341040	420000	361	576240	520800	443520	654600	1965
7671	Veterinær	634680	599760	510960	711240	2321	504840	485040	426720	563160	508	667800	623520	541200	744840	1813
2999	Uoppgitt utdanningsgruppe	390480	380640	346080	423600	2265	NULL	NULL	NULL	NULL	NULL	390480	380640	346080	423600	2265
6381	Sosialantropologiske fag	539640	517320	441480	594000	2186	382440	359280	317640	426720	347	557400	530280	462000	601200	1839
4199	Humanistiske og estetiske fag, andre	446760	405600	356040	488040	2131	NULL	NULL	NULL	NULL	NULL	447480	406320	356880	489600	2108
6111	Utdanninger i germanske og romanske språk	535440	496320	413040	599520	2095	397560	371520	322800	434760	452	559800	515400	438360	617160	1643
7419	Økonomisk-administrative fag, andre	532920	489960	432000	570000	2076	528720	488040	430680	566640	2051	NULL	NULL	NULL	NULL	NULL
